Region Name,Region Unique Number,Number of Voxels,Delta X,Delta Y,Delta Z,Mask Center,Mni_Scaled,cluster
cereb,30,3439,36,33,29,"[79, 38, 19, 1]","[-0.38, -0.627, -0.512]",1
cereb,13,3307,36,33,29,"[42, 38, 19, 1]","[0.36, -0.627, -0.512]",1
cereb,11,3254,36,29,39,"[42, 46, 26, 1]","[0.36, -0.518, -0.388]",1
cereb,27,3146,36,30,37,"[79, 45, 25, 1]","[-0.38, -0.532, -0.406]",1
cereb,10,2901,37,39,39,"[42, 43, 24, 1]","[0.36, -0.559, -0.424]",1
cereb,25,2855,36,39,39,"[79, 44, 24, 1]","[-0.38, -0.545, -0.424]",1
cereb,12,2571,35,37,30,"[44, 42, 20, 1]","[0.32, -0.573, -0.494]",1
cereb,18,2142,26,26,35,"[75, 48, 26, 1]","[-0.3, -0.491, -0.388]",1
cereb,2,2140,26,26,35,"[45, 48, 26, 1]","[0.3, -0.491, -0.388]",1
cereb,29,2034,34,38,30,"[78, 41, 20, 1]","[-0.36, -0.586, -0.494]",1
cereb,1,1963,28,30,41,"[47, 46, 27, 1]","[0.26, -0.518, -0.371]",1
cereb,17,1801,26,30,41,"[74, 46, 27, 1]","[-0.28, -0.518, -0.371]",1
cereb,24,1401,30,35,30,"[76, 44, 22, 1]","[-0.32, -0.545, -0.459]",1
cereb,31,1260,36,33,29,"[79, 39, 18, 1]","[-0.38, -0.614, -0.529]",1
cereb,9,1237,31,35,27,"[45, 44, 24, 1]","[0.3, -0.545, -0.424]",1
cereb,15,1226,37,33,29,"[42, 39, 18, 1]","[0.36, -0.614, -0.529]",1
cereb,4,1059,25,29,35,"[48, 49, 22, 1]","[0.24, -0.477, -0.459]",1
cereb,19,1042,20,29,35,"[71, 49, 22, 1]","[-0.22, -0.477, -0.459]",1
cereb,22,823,23,26,32,"[74, 48, 23, 1]","[-0.28, -0.491, -0.441]",1
cereb,6,798,23,27,33,"[48, 49, 23, 1]","[0.24, -0.477, -0.441]",1
cereb,28,538,31,32,25,"[80, 43, 23, 1]","[-0.4, -0.559, -0.441]",1
cereb,16,416,16,27,24,"[69, 44, 27, 1]","[-0.18, -0.545, -0.371]",1
cereb,20,298,21,31,27,"[75, 46, 20, 1]","[-0.3, -0.518, -0.494]",1
cereb,23,297,22,26,17,"[73, 47, 14, 1]","[-0.26, -0.505, -0.6]",1
cereb,5,297,21,31,27,"[47, 46, 20, 1]","[0.26, -0.518, -0.494]",1
cereb,7,294,22,26,18,"[47, 47, 14, 1]","[0.26, -0.505, -0.6]",1
cereb,14,121,34,30,23,"[43, 37, 17, 1]","[0.34, -0.641, -0.547]",1
